==15258== NVPROF is profiling process 15258, command: ./0123HomeWork 80 16
==15258== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==15258== Profiling application: ./0123HomeWork 80 16
==15258== Profiling result:
==15258== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-PCIE-16GB (0)"
    Kernel: find_hash(int, int)
          1                     fb_subp0_read_sectors         284         284         284         284
          1                     fb_subp1_read_sectors         892         892         892         892
          1                    fb_subp0_write_sectors        7455        7455        7455        7455
          1                    fb_subp1_write_sectors     2509100     2509100     2509100     2509100
          1              l2_subp0_write_sector_misses        7627        7627        7627        7627
          1              l2_subp1_write_sector_misses        7610        7610        7610        7610
          1               l2_subp0_read_sector_misses         260         260         260         260
          1               l2_subp1_read_sector_misses         252         252         252         252
          1          l2_subp0_read_tex_sector_queries     4201710     4201710     4201710     4201710
          1          l2_subp1_read_tex_sector_queries     4799606     4799606     4799606     4799606
          1         l2_subp0_write_tex_sector_queries   253003996   253003996   253003996   253003996
          1         l2_subp1_write_tex_sector_queries   252420837   252420837   252420837   252420837
          1             l2_subp0_read_tex_hit_sectors     4087588     4087588     4087588     4087588
          1             l2_subp1_read_tex_hit_sectors     4893600     4893600     4893600     4893600
          1            l2_subp0_write_tex_hit_sectors   254869496   254869496   254869496   254869496
          1            l2_subp1_write_tex_hit_sectors   253742921   253742921   253742921   253742921
          1        l2_subp0_total_read_sector_queries     4174848     4174848     4174848     4174848
          1        l2_subp1_total_read_sector_queries     4826681     4826681     4826681     4826681
          1       l2_subp0_total_write_sector_queries   253006818   253006818   253006818   253006818
          1       l2_subp1_total_write_sector_queries   252423662   252423662   252423662   252423662
          1                         elapsed_cycles_sm  7400210412  7400210412  7400210412  7400210412
          1                              generic_load    31140616    31140616    31140616    31140616
          1                             generic_store   203611720   203611720   203611720   203611720
          1                               global_load      598938      598938      598938      598938
          1                              global_store          33          33          33          33
          1                                local_load    76777760    76777760    76777760    76777760
          1                               local_store    50389544    50389544    50389544    50389544
