==49749== NVPROF is profiling process 49749, command: ./0123HomeWork 4 128
==49749== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==49749== Profiling application: ./0123HomeWork 4 128
==49749== Profiling result:
==49749== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-PCIE-16GB (0)"
    Kernel: find_hash(int, int)
          1                     fb_subp0_read_sectors          40          40          40          40
          1                     fb_subp1_read_sectors           0           0           0           0
          1                    fb_subp0_write_sectors           8           8           8           8
          1                    fb_subp1_write_sectors          25          25          25          25
          1              l2_subp0_write_sector_misses           4           4           4           4
          1              l2_subp1_write_sector_misses           4           4           4           4
          1               l2_subp0_read_sector_misses          24          24          24          24
          1               l2_subp1_read_sector_misses          32          32          32          32
          1          l2_subp0_read_tex_sector_queries    23935800    23935800    23935800    23935800
          1          l2_subp1_read_tex_sector_queries    25750458    25750458    25750458    25750458
          1         l2_subp0_write_tex_sector_queries  1473498320  1473498320  1473498320  1473498320
          1         l2_subp1_write_tex_sector_queries  1439642833  1439642833  1439642833  1439642833
          1             l2_subp0_read_tex_hit_sectors    23908786    23908786    23908786    23908786
          1             l2_subp1_read_tex_hit_sectors    25749764    25749764    25749764    25749764
          1            l2_subp0_write_tex_hit_sectors  1473210864  1473210864  1473210864  1473210864
          1            l2_subp1_write_tex_hit_sectors  1439367217  1439367217  1439367217  1439367217
          1        l2_subp0_total_read_sector_queries    23938392    23938392    23938392    23938392
          1        l2_subp1_total_read_sector_queries    25773207    25773207    25773207    25773207
          1       l2_subp0_total_write_sector_queries  1473536203  1473536203  1473536203  1473536203
          1       l2_subp1_total_write_sector_queries  1439679595  1439679595  1439679595  1439679595
          1                         elapsed_cycles_sm  1.4441e+11  1.4441e+11  1.4441e+11  1.4441e+11
          1                              generic_load    89316656    89316656    89316656    89316656
          1                             generic_store   583993520   583993520   583993520   583993520
          1                               global_load     1717644     1717644     1717644     1717644
          1                              global_store          33          33          33          33
          1                                local_load   219837984   219837984   219837984   219837984
          1                               local_store   144269488   144269488   144269488   144269488
