==441822== NVPROF is profiling process 441822, command: ./0123HomeWork 80 16
==441822== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==441822== Profiling application: ./0123HomeWork 80 16
==441822== Profiling result:
==441822== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-PCIE-16GB (0)"
    Kernel: find_hash(int, int)
          1                     fb_subp0_read_sectors          80          80          80          80
          1                     fb_subp1_read_sectors        1111        1111        1111        1111
          1                    fb_subp0_write_sectors        7116        7116        7116        7116
          1                    fb_subp1_write_sectors       27183       27183       27183       27183
          1              l2_subp0_write_sector_misses        7134        7134        7134        7134
          1              l2_subp1_write_sector_misses     1786768     1786768     1786768     1786768
          1               l2_subp0_read_sector_misses         116         116         116         116
          1               l2_subp1_read_sector_misses         132         132         132         132
          1          l2_subp0_read_tex_sector_queries    43464080    43464080    43464080    43464080
          1          l2_subp1_read_tex_sector_queries    50266326    50266326    50266326    50266326
          1         l2_subp0_write_tex_sector_queries  2653362804  2653362804  2653362804  2653362804
          1         l2_subp1_write_tex_sector_queries  2645432909  2645432909  2645432909  2645432909
          1             l2_subp0_read_tex_hit_sectors    43409568    43409568    43409568    43409568
          1             l2_subp1_read_tex_hit_sectors    49590520    49590520    49590520    49590520
          1            l2_subp0_write_tex_hit_sectors  2638939310  2638939310  2638939310  2638939310
          1            l2_subp1_write_tex_hit_sectors  2632855389  2632855389  2632855389  2632855389
          1        l2_subp0_total_read_sector_queries    42711934    42711934    42711934    42711934
          1        l2_subp1_total_read_sector_queries    51134475    51134475    51134475    51134475
          1       l2_subp0_total_write_sector_queries  2634689475  2634689475  2634689475  2634689475
          1       l2_subp1_total_write_sector_queries  2623016646  2623016646  2623016646  2623016646
          1                         elapsed_cycles_sm  7.6777e+10  7.6777e+10  7.6777e+10  7.6777e+10
          1                              generic_load   323307400   323307400   323307400   323307400
          1                             generic_store  2113933000  2113933000  2113933000  2113933000
          1                               global_load     6217530     6217530     6217530     6217530
          1                              global_store          33          33          33          33
          1                                local_load   799799328   799799328   799799328   799799328
          1                               local_store   524872448   524872448   524872448   524872448
