==213035== NVPROF is profiling process 213035, command: ./0123HomeWork 4 64
==213035== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==213035== Profiling application: ./0123HomeWork 4 64
==213035== Profiling result:
==213035== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-PCIE-16GB (0)"
    Kernel: find_hash(int, int)
          1                     fb_subp0_read_sectors           0           0           0           0
          1                     fb_subp1_read_sectors           0           0           0           0
          1                    fb_subp0_write_sectors           8           8           8           8
          1                    fb_subp1_write_sectors          16          16          16          16
          1              l2_subp0_write_sector_misses           4           4           4           4
          1              l2_subp1_write_sector_misses           4           4           4           4
          1               l2_subp0_read_sector_misses           0           0           0           0
          1               l2_subp1_read_sector_misses           0           0           0           0
          1          l2_subp0_read_tex_sector_queries       23864       23864       23864       23864
          1          l2_subp1_read_tex_sector_queries       27332       27332       27332       27332
          1         l2_subp0_write_tex_sector_queries     1486608     1486608     1486608     1486608
          1         l2_subp1_write_tex_sector_queries     1469521     1469521     1469521     1469521
          1             l2_subp0_read_tex_hit_sectors       23764       23764       23764       23764
          1             l2_subp1_read_tex_hit_sectors       27230       27230       27230       27230
          1            l2_subp0_write_tex_hit_sectors     1495112     1495112     1495112     1495112
          1            l2_subp1_write_tex_hit_sectors     1461017     1461017     1461017     1461017
          1        l2_subp0_total_read_sector_queries       26584       26584       26584       26584
          1        l2_subp1_total_read_sector_queries       28423       28423       28423       28423
          1       l2_subp0_total_write_sector_queries     1486648     1486648     1486648     1486648
          1       l2_subp1_total_write_sector_queries     1469542     1469542     1469542     1469542
          1                         elapsed_cycles_sm   240690220   240690220   240690220   240690220
          1                              generic_load       90688       90688       90688       90688
          1                             generic_store      592960      592960      592960      592960
          1                               global_load        1752        1752        1752        1752
          1                              global_store          33          33          33          33
          1                                local_load      223008      223008      223008      223008
          1                               local_store      146744      146744      146744      146744
